sweep,algorithm,n,population,trial,seed,solved,outcome,seconds,work
crossover,backtrack,8,0,0,0,1,solved,6e-06,113
crossover,backtrack,8,0,1,0,1,solved,4e-06,113
crossover,backtrack,8,0,2,0,1,solved,6e-06,113
crossover,genetic,8,0,0,8000025,1,solved,0.000665,12
crossover,genetic,8,0,1,8000026,1,solved,0.000379,13
crossover,genetic,8,0,2,8000027,1,solved,0.000406,14
crossover,genetic,8,0,3,8000028,1,solved,0.00041,12
crossover,genetic,8,0,4,8000029,1,solved,0.00061,16
crossover,genetic,8,0,5,8000030,1,solved,0.000621,20
crossover,genetic,8,0,6,8000031,1,solved,0.00127,24
crossover,backtrack,9,0,0,0,1,solved,4e-06,41
crossover,backtrack,9,0,1,0,1,solved,3e-06,41
crossover,backtrack,9,0,2,0,1,solved,2e-06,41
crossover,genetic,9,0,0,9000028,1,solved,0.000925,24
crossover,genetic,9,0,1,9000029,1,solved,0.001555,28
crossover,genetic,9,0,2,9000030,1,solved,0.000582,11
crossover,genetic,9,0,3,9000031,1,solved,0.000757,26
crossover,genetic,9,0,4,9000032,1,solved,0.000582,14
crossover,genetic,9,0,5,9000033,1,solved,0.002563,47
crossover,genetic,9,0,6,9000034,1,solved,0.001419,22
crossover,backtrack,10,0,0,0,1,solved,5e-06,102
crossover,backtrack,10,0,1,0,1,solved,5e-06,102
crossover,backtrack,10,0,2,0,1,solved,4e-06,102
crossover,genetic,10,0,0,10000031,1,solved,0.002326,47
crossover,genetic,10,0,1,10000032,1,solved,0.001412,44
crossover,genetic,10,0,2,10000033,1,solved,0.003009,66
crossover,genetic,10,0,3,10000034,0,stalled,0.073563,2016
crossover,genetic,10,0,4,10000035,0,stalled,0.074187,2014
crossover,genetic,10,0,5,10000036,1,solved,0.00219,54
crossover,genetic,10,0,6,10000037,1,solved,0.002385,32
crossover,backtrack,11,0,0,0,1,solved,2e-06,52
crossover,backtrack,11,0,1,0,1,solved,3e-06,52
crossover,backtrack,11,0,2,0,1,solved,4e-06,52
crossover,genetic,11,0,0,11000034,0,stalled,0.075428,2016
crossover,genetic,11,0,1,11000035,1,solved,0.001487,44
crossover,genetic,11,0,2,11000036,1,solved,0.001735,54
crossover,genetic,11,0,3,11000037,0,stalled,0.104062,2025
crossover,genetic,11,0,4,11000038,0,stalled,0.086774,2027
crossover,genetic,11,0,5,11000039,1,solved,0.003533,48
crossover,genetic,11,0,6,11000040,1,solved,0.002279,67
crossover,backtrack,12,0,0,0,1,solved,1.4e-05,261
crossover,backtrack,12,0,1,0,1,solved,1.1e-05,261
crossover,backtrack,12,0,2,0,1,solved,1.1e-05,261
crossover,genetic,12,0,0,12000037,1,solved,0.002363,64
crossover,genetic,12,0,1,12000038,0,stalled,0.104753,2041
crossover,genetic,12,0,2,12000039,1,solved,0.002919,55
crossover,genetic,12,0,3,12000040,1,solved,0.004778,81
crossover,genetic,12,0,4,12000041,1,solved,0.003578,95
crossover,genetic,12,0,5,12000042,1,solved,0.055271,1206
crossover,genetic,12,0,6,12000043,1,solved,0.001621,47
crossover,backtrack,13,0,0,0,1,solved,8e-06,111
crossover,backtrack,13,0,1,0,1,solved,7e-06,111
crossover,backtrack,13,0,2,0,1,solved,6e-06,111
crossover,genetic,13,0,0,13000040,1,solved,0.004758,53
crossover,genetic,13,0,1,13000041,1,solved,0.003776,95
crossover,genetic,13,0,2,13000042,1,solved,0.006634,167
crossover,genetic,13,0,3,13000043,1,solved,0.002361,66
crossover,genetic,13,0,4,13000044,1,solved,0.019939,415
crossover,genetic,13,0,5,13000045,1,solved,0.007265,87
crossover,genetic,13,0,6,13000046,0,stalled,0.087168,2029
crossover,backtrack,14,0,0,0,1,solved,8.4e-05,1899
crossover,backtrack,14,0,1,0,1,solved,0.000125,1899
crossover,backtrack,14,0,2,0,1,solved,8.4e-05,1899
crossover,genetic,14,0,0,14000043,1,solved,0.00316,45
crossover,genetic,14,0,1,14000044,1,solved,0.007653,144
crossover,genetic,14,0,2,14000045,1,solved,0.003432,91
crossover,genetic,14,0,3,14000046,1,solved,0.00335,60
crossover,genetic,14,0,4,14000047,1,solved,0.009555,255
crossover,genetic,14,0,5,14000048,0,stalled,0.112315,2031
crossover,genetic,14,0,6,14000049,1,solved,0.002255,58
crossover,backtrack,15,0,0,0,1,solved,6.6e-05,1359
crossover,backtrack,15,0,1,0,1,solved,6.6e-05,1359
crossover,backtrack,15,0,2,0,1,solved,8.6e-05,1359
crossover,genetic,15,0,0,15000046,1,solved,0.001844,42
crossover,genetic,15,0,1,15000047,1,solved,0.005487,73
crossover,genetic,15,0,2,15000048,0,stalled,0.113305,2060
crossover,genetic,15,0,3,15000049,1,solved,0.12014,1877
crossover,genetic,15,0,4,15000050,1,solved,0.054043,1110
crossover,genetic,15,0,5,15000051,1,solved,0.004738,69
crossover,genetic,15,0,6,15000052,1,solved,0.09892,1442
crossover,backtrack,16,0,0,0,1,solved,0.000633,10052
crossover,backtrack,16,0,1,0,1,solved,0.000471,10052
crossover,backtrack,16,0,2,0,1,solved,0.000639,10052
crossover,genetic,16,0,0,16000049,1,solved,0.027168,250
crossover,genetic,16,0,1,16000050,1,solved,0.006038,53
crossover,genetic,16,0,2,16000051,1,solved,0.004234,63
crossover,genetic,16,0,3,16000052,1,solved,0.00682,125
crossover,genetic,16,0,4,16000053,1,solved,0.013134,301
crossover,genetic,16,0,5,16000054,1,solved,0.008308,76
crossover,genetic,16,0,6,16000055,1,solved,0.013054,110
crossover,backtrack,17,0,0,0,1,solved,0.000344,5374
crossover,backtrack,17,0,1,0,1,solved,0.000344,5374
crossover,backtrack,17,0,2,0,1,solved,0.000265,5374
crossover,genetic,17,0,0,17000052,1,solved,0.005678,123
crossover,genetic,17,0,1,17000053,1,solved,0.005473,69
crossover,genetic,17,0,2,17000054,1,solved,0.052905,740
crossover,genetic,17,0,3,17000055,1,solved,0.011893,139
crossover,genetic,17,0,4,17000056,1,solved,0.003895,69
crossover,genetic,17,0,5,17000057,1,solved,0.006654,111
crossover,genetic,17,0,6,17000058,1,solved,0.05285,464
crossover,backtrack,18,0,0,0,1,solved,0.002817,41299
crossover,backtrack,18,0,1,0,1,solved,0.002173,41299
crossover,backtrack,18,0,2,0,1,solved,0.002038,41299
crossover,genetic,18,0,0,18000055,1,solved,0.005707,56
crossover,genetic,18,0,1,18000056,1,solved,0.008597,109
crossover,genetic,18,0,2,18000057,1,solved,0.013252,226
crossover,genetic,18,0,3,18000058,1,solved,0.016076,142
crossover,genetic,18,0,4,18000059,1,solved,0.007251,63
crossover,genetic,18,0,5,18000060,1,solved,0.010469,104
crossover,genetic,18,0,6,18000061,1,solved,0.022856,312
crossover,backtrack,19,0,0,0,1,solved,0.000127,2545
crossover,backtrack,19,0,1,0,1,solved,0.000141,2545
crossover,backtrack,19,0,2,0,1,solved,0.000124,2545
crossover,genetic,19,0,0,19000058,1,solved,0.012733,159
crossover,genetic,19,0,1,19000059,1,solved,0.007599,87
crossover,genetic,19,0,2,19000060,1,solved,0.045434,335
crossover,genetic,19,0,3,19000061,1,solved,0.00622,110
crossover,genetic,19,0,4,19000062,1,solved,0.015826,105
crossover,genetic,19,0,5,19000063,1,solved,0.021465,312
crossover,genetic,19,0,6,19000064,1,solved,0.014675,123
crossover,backtrack,20,0,0,0,1,solved,0.012441,199635
crossover,backtrack,20,0,1,0,1,solved,0.013088,199635
crossover,backtrack,20,0,2,0,1,solved,0.013603,199635
crossover,genetic,20,0,0,20000061,1,solved,0.015248,168
crossover,genetic,20,0,1,20000062,1,solved,0.014131,118
crossover,genetic,20,0,2,20000063,1,solved,0.072253,535
crossover,genetic,20,0,3,20000064,1,solved,0.00589,108
crossover,genetic,20,0,4,20000065,1,solved,0.043711,396
crossover,genetic,20,0,5,20000066,1,solved,0.127914,1182
crossover,genetic,20,0,6,20000067,1,solved,0.023698,351
crossover,backtrack,21,0,0,0,1,solved,0.000584,8562
crossover,backtrack,21,0,1,0,1,solved,0.000528,8562
crossover,backtrack,21,0,2,0,1,solved,0.00047,8562
crossover,genetic,21,0,0,21000064,1,solved,0.041478,340
crossover,genetic,21,0,1,21000065,1,solved,0.005435,84
crossover,genetic,21,0,2,21000066,0,stalled,0.216369,2070
crossover,genetic,21,0,3,21000067,1,solved,0.02112,187
crossover,genetic,21,0,4,21000068,1,solved,0.009665,69
crossover,genetic,21,0,5,21000069,1,solved,0.005674,72
crossover,genetic,21,0,6,21000070,1,solved,0.054268,565
