sweep,algorithm,n,population,trial,seed,solved,outcome,seconds,work
population,genetic,20,25,0,20025286,1,solved,0.000526,146
population,genetic,20,25,1,20025287,0,stalled,0.016077,2067
population,genetic,20,25,2,20025288,0,stalled,0.0186,2132
population,genetic,20,25,3,20025289,0,stalled,0.022224,2069
population,genetic,20,25,4,20025290,1,solved,0.002322,210
population,genetic,20,25,5,20025291,1,solved,0.005368,509
population,genetic,20,25,6,20025292,1,solved,0.005082,463
population,genetic,20,25,7,20025293,0,stalled,0.022423,2123
population,genetic,20,25,8,20025294,1,solved,0.008407,1938
population,genetic,20,50,0,20050511,0,stalled,0.030735,2098
population,genetic,20,50,1,20050512,0,stalled,0.014174,2069
population,genetic,20,50,2,20050513,0,stalled,0.013121,2037
population,genetic,20,50,3,20050514,1,solved,0.013922,717
population,genetic,20,50,4,20050515,0,stalled,0.014758,2086
population,genetic,20,50,5,20050516,1,solved,0.016321,1537
population,genetic,20,50,6,20050517,1,solved,0.013892,1513
population,genetic,20,50,7,20050518,1,solved,0.000501,66
population,genetic,20,50,8,20050519,1,solved,0.001836,167
population,genetic,20,100,0,20100961,1,solved,0.009683,524
population,genetic,20,100,1,20100962,1,solved,0.002928,66
population,genetic,20,100,2,20100963,1,solved,0.019856,1355
population,genetic,20,100,3,20100964,1,solved,0.037366,1492
population,genetic,20,100,4,20100965,1,solved,0.001519,111
population,genetic,20,100,5,20100966,1,solved,0.023934,1080
population,genetic,20,100,6,20100967,0,stalled,0.036147,2045
population,genetic,20,100,7,20100968,0,stalled,0.047882,2134
population,genetic,20,100,8,20100969,1,solved,0.006833,353
population,genetic,20,200,0,20201861,1,solved,0.015486,343
population,genetic,20,200,1,20201862,1,solved,0.004406,152
population,genetic,20,200,2,20201863,1,solved,0.003131,102
population,genetic,20,200,3,20201864,1,solved,0.057219,1590
population,genetic,20,200,4,20201865,1,solved,0.002151,76
population,genetic,20,200,5,20201866,1,solved,0.002822,98
population,genetic,20,200,6,20201867,1,solved,0.002531,78
population,genetic,20,200,7,20201868,1,solved,0.001795,63
population,genetic,20,200,8,20201869,1,solved,0.061121,1387
population,genetic,20,400,0,20403661,1,solved,0.008767,152
population,genetic,20,400,1,20403662,1,solved,0.00906,137
population,genetic,20,400,2,20403663,1,solved,0.005808,103
population,genetic,20,400,3,20403664,1,solved,0.027542,249
population,genetic,20,400,4,20403665,1,solved,0.018878,165
population,genetic,20,400,5,20403666,1,solved,0.005146,86
population,genetic,20,400,6,20403667,1,solved,0.010906,138
population,genetic,20,400,7,20403668,1,solved,0.007557,121
population,genetic,20,400,8,20403669,1,solved,0.018511,164
population,genetic,20,800,0,20807261,1,solved,0.015424,98
population,genetic,20,800,1,20807262,1,solved,0.026884,154
population,genetic,20,800,2,20807263,1,solved,0.052374,350
population,genetic,20,800,3,20807264,1,solved,0.046274,280
population,genetic,20,800,4,20807265,1,solved,0.075028,432
population,genetic,20,800,5,20807266,1,solved,0.074686,354
population,genetic,20,800,6,20807267,1,solved,0.014078,109
population,genetic,20,800,7,20807268,1,solved,0.018653,88
population,genetic,20,800,8,20807269,1,solved,0.020124,71
population,genetic,20,1600,0,21614461,1,solved,0.025801,87
population,genetic,20,1600,1,21614462,1,solved,0.044672,97
population,genetic,20,1600,2,21614463,1,solved,0.052975,92
population,genetic,20,1600,3,21614464,1,solved,0.032111,88
population,genetic,20,1600,4,21614465,1,solved,0.029071,75
population,genetic,20,1600,5,21614466,1,solved,0.054522,138
population,genetic,20,1600,6,21614467,1,solved,0.372916,1043
population,genetic,20,1600,7,21614468,1,solved,0.210269,511
population,genetic,20,1600,8,21614469,1,solved,0.021365,84
population,genetic,20,3200,0,23228861,1,solved,0.039728,78
population,genetic,20,3200,1,23228862,1,solved,0.196248,286
population,genetic,20,3200,2,23228863,1,solved,0.059114,94
population,genetic,20,3200,3,23228864,1,solved,0.104821,140
population,genetic,20,3200,4,23228865,1,solved,0.077644,86
population,genetic,20,3200,5,23228866,0,stalled,1.535164,2080
population,genetic,20,3200,6,23228867,1,solved,0.187072,220
population,genetic,20,3200,7,23228868,1,solved,0.070383,95
population,genetic,20,3200,8,23228869,1,solved,0.063332,87
population,genetic,20,6400,0,26457661,1,solved,0.297351,192
population,genetic,20,6400,1,26457662,1,solved,0.247959,96
population,genetic,20,6400,2,26457663,1,solved,0.321091,86
population,genetic,20,6400,3,26457664,1,solved,0.18754,113
population,genetic,20,6400,4,26457665,1,solved,0.239106,140
population,genetic,20,6400,5,26457666,1,solved,0.164553,117
population,genetic,20,6400,6,26457667,1,solved,0.256343,137
population,genetic,20,6400,7,26457668,1,solved,0.122299,95
population,genetic,20,6400,8,26457669,1,solved,0.123616,82
population,genetic,40,25,0,40025346,0,stalled,0.058329,2451
population,genetic,40,25,1,40025347,1,solved,0.020205,696
population,genetic,40,25,2,40025348,0,stalled,0.044153,2248
population,genetic,40,25,3,40025349,1,solved,0.03442,1779
population,genetic,40,25,4,40025350,0,stalled,0.063377,2615
population,genetic,40,25,5,40025351,0,stalled,0.075806,3675
population,genetic,40,25,6,40025352,1,solved,0.008462,405
population,genetic,40,25,7,40025353,1,solved,0.066669,3211
population,genetic,40,25,8,40025354,0,stalled,0.058833,2422
population,genetic,40,50,0,40050571,1,solved,0.192131,2897
population,genetic,40,50,1,40050572,1,solved,0.038441,1023
population,genetic,40,50,2,40050573,0,stalled,0.093621,2215
population,genetic,40,50,3,40050574,0,stalled,0.161988,3838
population,genetic,40,50,4,40050575,0,stalled,0.097449,2338
population,genetic,40,50,5,40050576,1,solved,0.0183,407
population,genetic,40,50,6,40050577,0,stalled,0.157858,3345
population,genetic,40,50,7,40050578,0,stalled,0.121008,2399
population,genetic,40,50,8,40050579,1,solved,0.023159,677
population,genetic,40,100,0,40101021,0,stalled,0.205238,2220
population,genetic,40,100,1,40101022,1,solved,0.080122,945
population,genetic,40,100,2,40101023,0,stalled,0.173948,2354
population,genetic,40,100,3,40101024,1,solved,0.064779,827
population,genetic,40,100,4,40101025,1,solved,0.157391,2218
population,genetic,40,100,5,40101026,0,stalled,0.159015,2152
population,genetic,40,100,6,40101027,1,solved,0.034802,447
population,genetic,40,100,7,40101028,1,solved,0.118231,1598
population,genetic,40,100,8,40101029,1,solved,0.112569,1420
population,genetic,40,200,0,40201921,0,stalled,0.305725,2125
population,genetic,40,200,1,40201922,1,solved,0.053543,346
population,genetic,40,200,2,40201923,1,solved,0.043248,246
population,genetic,40,200,3,40201924,1,solved,0.134034,809
population,genetic,40,200,4,40201925,1,solved,0.205491,1328
population,genetic,40,200,5,40201926,1,solved,0.196834,1183
population,genetic,40,200,6,40201927,1,solved,0.260622,1674
population,genetic,40,200,7,40201928,1,solved,0.178721,936
population,genetic,40,200,8,40201929,1,solved,0.069149,453
population,genetic,40,400,0,40403721,1,solved,0.16041,534
population,genetic,40,400,1,40403722,1,solved,0.339543,918
population,genetic,40,400,2,40403723,1,solved,0.125246,315
population,genetic,40,400,3,40403724,1,solved,0.221583,434
population,genetic,40,400,4,40403725,1,solved,0.086208,222
population,genetic,40,400,5,40403726,1,solved,0.037604,169
population,genetic,40,400,6,40403727,1,solved,0.126738,346
population,genetic,40,400,7,40403728,1,solved,0.73651,1989
population,genetic,40,400,8,40403729,1,solved,0.10144,349
population,genetic,40,800,0,40807321,1,solved,1.063198,1738
population,genetic,40,800,1,40807322,1,solved,0.736555,1125
population,genetic,40,800,2,40807323,1,solved,0.370638,606
population,genetic,40,800,3,40807324,1,solved,0.077106,112
population,genetic,40,800,4,40807325,1,solved,0.793489,1104
population,genetic,40,800,5,40807326,1,solved,0.411916,420
population,genetic,40,800,6,40807327,1,solved,0.257026,320
population,genetic,40,800,7,40807328,1,solved,0.539908,837
population,genetic,40,800,8,40807329,1,solved,0.272447,399
population,genetic,40,1600,0,41614521,1,solved,0.339919,208
population,genetic,40,1600,1,41614522,1,solved,0.213376,162
population,genetic,40,1600,2,41614523,1,solved,0.221562,165
population,genetic,40,1600,3,41614524,1,solved,0.1259,97
population,genetic,40,1600,4,41614525,1,solved,0.268107,188
population,genetic,40,1600,5,41614526,1,solved,1.627281,1270
population,genetic,40,1600,6,41614527,1,solved,0.617445,510
population,genetic,40,1600,7,41614528,1,solved,0.366019,204
population,genetic,40,1600,8,41614529,1,solved,0.834465,664
population,genetic,40,3200,0,43228921,1,solved,0.502138,213
population,genetic,40,3200,1,43228922,1,solved,0.480121,189
population,genetic,40,3200,2,43228923,0,stalled,5.730612,2149
population,genetic,40,3200,3,43228924,1,solved,0.505435,215
population,genetic,40,3200,4,43228925,1,solved,0.227861,101
population,genetic,40,3200,5,43228926,1,solved,3.062035,1190
population,genetic,40,3200,6,43228927,1,solved,0.433891,161
population,genetic,40,3200,7,43228928,1,solved,0.436897,158
population,genetic,40,3200,8,43228929,1,solved,0.569594,203
population,genetic,40,6400,0,46457721,1,solved,0.843946,169
population,genetic,40,6400,1,46457722,1,solved,0.853472,146
population,genetic,40,6400,2,46457723,1,solved,1.071567,206
population,genetic,40,6400,3,46457724,1,solved,0.624597,115
population,genetic,40,6400,4,46457725,1,solved,0.633257,124
population,genetic,40,6400,5,46457726,1,solved,1.867448,369
population,genetic,40,6400,6,46457727,1,solved,0.862826,175
